track_id,track_name,artist_name,genre,emotion,album,release_date,explicit,popularity,tempo,loudness,duration_sec,energy,danceability,valence,speechiness,liveness,acousticness,instrumentalness,activities,similar_1,similar_2,similar_3
trk_000026,Echoes,Lunar District,country,anger,Sample Album,29th April 2013,False,2,76,-3.72,156,0.05,0.69,0.08,0.17,0.54,0.17,0.05,"party,relaxation,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000027,Heartlines,Silver Lake,jazz,fear,Sample Album,29th April 2013,False,78,135,-4.58,183,0.9,0.72,0.82,0.17,0.04,0.46,0.7,"work_study,exercise,yoga,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000028,Nightcall,Coral Bloom,country,surprise,Sample Album,29th April 2013,False,65,176,-10.32,123,0.48,0.13,0.41,0.02,0.09,0.69,0.04,"work_study,exercise",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000029,Weightless,Coral Bloom,folk,love,Sample Album,29th April 2013,False,15,154,-4.17,166,0.87,0.39,0.13,0.14,0.54,0.32,0.64,"party,relaxation,running,yoga,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000030,Fever Dream,Echo Parade,country,anger,Sample Album,29th April 2013,True,39,76,-8.17,246,0.84,0.69,0.41,0.14,0.2,0.41,0.45,"party,exercise,yoga,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000031,Higher Ground,Glass Union,hip hop,sadness,Sample Album,29th April 2013,True,68,162,-3.5,352,0.63,0.74,0.33,0.26,0.16,0.9,0.73,"relaxation,exercise,running,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000032,Aurora,Paper Kites,pop,anger,Sample Album,29th April 2013,True,62,106,-7.9,207,0.93,0.1,0.33,0.14,0.13,0.02,0.68,"relaxation,running,yoga,driving",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000033,Daydream,Coral Bloom,country,fear,Sample Album,29th April 2013,False,68,133,-11.94,289,0.53,0.7,0.67,0.14,0.39,0.81,0.74,"party,relaxation,exercise,driving",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000034,Runaway,Silver Lake,reggae,sadness,Sample Album,29th April 2013,False,35,60,-6.45,179,0.48,0.82,0.96,0.28,0.31,0.99,0.43,"relaxation,running,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000035,Fever Dream,Silver Lake,rock,anger,Sample Album,29th April 2013,False,28,95,-6.9,287,0.92,0.63,0.52,0.23,0.28,0.12,0.08,"party,running,yoga,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000036,Mirage,Echo Parade,hip hop,joy,Sample Album,29th April 2013,True,95,114,-6.12,155,0.71,0.87,0.54,0.27,0.43,0.95,0.15,"work_study,exercise,yoga",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000037,Mirage,The Midnight,folk,joy,Sample Album,29th April 2013,True,22,138,-11.15,306,0.67,0.33,0.54,0.24,0.57,0.69,0.36,"exercise,yoga,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000038,Neon Lights,Wild Empire,jazz,love,Sample Album,29th April 2013,True,17,150,-5.22,212,0.33,0.25,0.53,0.18,0.41,0.77,0.07,"party,work_study,running,yoga,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000039,Neon Lights,Aurora Skies,folk,joy,Sample Album,29th April 2013,True,12,133,-3.37,297,0.93,0.14,0.39,0.11,0.16,0.35,0.67,"work_study,relaxation,exercise,running,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000040,Wildfire,Wild Empire,country,sadness,Sample Album,29th April 2013,False,73,133,-8.59,265,0.54,0.69,0.51,0.1,0.58,0.29,0.8,"party,exercise,running,driving,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000041,Wildfire,Glass Union,pop,sadness,Sample Album,29th April 2013,False,70,107,-3.62,345,0.72,0.93,0.65,0.22,0.38,0.04,0.79,"exercise,running,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000042,Bloom,Coral Bloom,reggae,fear,Sample Album,29th April 2013,True,69,94,-5.66,307,0.02,0.83,0.17,0.13,0.48,0.72,0.12,"relaxation,exercise,running,yoga,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000043,Runaway,Lunar District,country,sadness,Sample Album,29th April 2013,False,71,77,-7.77,173,0.35,0.73,0.84,0.12,0.52,0.61,0.89,"party,work_study,relaxation,exercise,running,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000044,Nightcall,Paper Kites,electronic,love,Sample Album,29th April 2013,False,90,156,-10.35,324,0.31,0.82,0.79,0.17,0.1,0.08,0.43,"party,running,yoga,driving,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000045,Heartlines,Velvet Rope,indie,love,Sample Album,29th April 2013,False,96,144,-5.21,135,0.61,0.48,0.64,0.21,0.5,0.85,0.24,"party,work_study,running,driving,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000046,Bloom,Aurora Skies,r&b,fear,Sample Album,29th April 2013,True,20,164,-5.6,342,0.68,0.14,0.33,0.01,0.3,0.51,0.81,"party,running,yoga",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000047,Echoes,Wild Empire,folk,anger,Sample Album,29th April 2013,False,31,62,-7.62,191,0.06,0.67,0.93,0.07,0.45,0.65,0.88,"party,exercise,driving",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000048,Runaway,Wild Empire,country,love,Sample Album,29th April 2013,True,77,95,-9.51,174,0.18,0.72,0.91,0.27,0.21,0.99,0.68,"party,exercise,driving",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000049,Afterglow,Velvet Rope,classical,sadness,Sample Album,29th April 2013,True,96,160,-9.01,160,0.52,0.49,0.54,0.22,0.09,0.76,0.76,"running,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000050,Wildfire,Velvet Rope,jazz,fear,Sample Album,29th April 2013,False,27,71,-7.63,271,0.91,0.6,0.03,0.1,0.52,0.8,0.75,"party,relaxation,running,yoga,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000051,Aurora,Silver Lake,electronic,joy,Sample Album,29th April 2013,True,63,131,-3.14,162,0.28,0.51,0.94,0.18,0.53,0.44,0.31,"work_study,yoga,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000052,Vertigo,Lunar District,country,sadness,Sample Album,29th April 2013,True,19,65,-10.51,141,0.37,0.61,0.06,0.19,0.33,0.09,0.72,"party,running,yoga,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000053,Vertigo,Silver Lake,reggae,joy,Sample Album,29th April 2013,False,9,135,-8.0,290,0.78,1.0,0.47,0.14,0.26,0.67,0.03,"party,work_study,relaxation,exercise,running,driving,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000054,Echoes,Coral Bloom,hip hop,fear,Sample Album,29th April 2013,True,42,129,-3.03,321,0.47,0.28,0.19,0.29,0.38,0.19,0.75,"work_study,relaxation,exercise,yoga,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000055,Mirage,Paper Kites,metal,surprise,Sample Album,29th April 2013,False,53,175,-11.43,124,0.11,0.17,0.37,0.18,0.47,0.83,0.33,"party,work_study,relaxation,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000056,Higher Ground,Coral Bloom,hip hop,love,Sample Album,29th April 2013,True,91,155,-4.47,121,0.76,0.9,0.85,0.21,0.56,0.68,0.54,"party,exercise,running,yoga,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000057,Higher Ground,Paper Kites,reggae,surprise,Sample Album,29th April 2013,True,22,61,-11.83,239,0.33,0.71,0.06,0.01,0.15,0.98,0.1,"relaxation,exercise,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000058,Mirage,Neon Fox,jazz,surprise,Sample Album,29th April 2013,False,79,98,-11.6,192,0.61,0.47,0.03,0.16,0.02,0.14,0.84,"work_study,relaxation,running,yoga,driving,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000059,Slow Burn,Aurora Skies,country,anger,Sample Album,29th April 2013,False,2,129,-5.33,276,0.78,0.97,0.06,0.26,0.3,0.59,0.45,"party,work_study,exercise,yoga,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000060,Weightless,Silver Lake,metal,love,Sample Album,29th April 2013,True,27,135,-10.9,140,0.92,0.11,0.43,0.04,0.43,0.83,0.08,"work_study,relaxation,yoga,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000061,Bloom,Iron Waves,reggae,anger,Sample Album,29th April 2013,True,81,137,-3.38,132,0.29,0.32,0.92,0.13,0.25,0.27,0.79,"party,running,yoga,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000062,Ghost Town,Iron Waves,metal,fear,Sample Album,29th April 2013,False,55,134,-8.81,320,0.02,0.4,0.97,0.03,0.41,0.63,0.14,"work_study,relaxation,exercise,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000063,Golden Hour,!!!,folk,surprise,Sample Album,29th April 2013,True,9,114,-9.59,180,0.08,0.02,0.05,0.18,0.22,0.43,0.02,"party,work_study,relaxation,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000064,Ghost Town,!!!,classical,sadness,Sample Album,29th April 2013,True,98,132,-4.67,266,0.24,0.28,0.29,0.06,0.2,0.13,0.07,"party,work_study,yoga,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000065,Heartlines,Wild Empire,r&b,sadness,Sample Album,29th April 2013,True,12,66,-9.72,187,0.96,0.29,0.37,0.23,0.17,0.68,0.54,"exercise,running,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000066,Aurora,Coral Bloom,jazz,joy,Sample Album,29th April 2013,True,99,143,-4.02,298,0.56,0.36,0.69,0.1,0.59,0.43,0.47,"party,work_study,relaxation,exercise,running,yoga,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000067,Heartlines,Aurora Skies,reggae,love,Sample Album,29th April 2013,False,74,80,-5.05,272,0.66,0.66,0.7,0.2,0.58,0.7,0.55,"party,relaxation,yoga",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000068,Afterglow,Wild Empire,rock,anger,Sample Album,29th April 2013,False,11,83,-3.44,130,0.79,0.31,0.87,0.23,0.56,0.28,0.11,"party,relaxation,running",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000069,Aurora,Aurora Skies,rock,love,Sample Album,29th April 2013,False,78,154,-11.4,152,0.41,0.74,0.12,0.16,0.22,0.54,0.09,"relaxation,exercise,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000070,Runaway,Echo Parade,metal,surprise,Sample Album,29th April 2013,False,79,66,-4.04,250,0.28,0.36,0.46,0.25,0.42,0.93,0.72,"relaxation,running,yoga,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000071,Heartlines,Glass Union,r&b,sadness,Sample Album,29th April 2013,True,21,157,-10.84,294,0.18,0.57,0.06,0.12,0.37,0.44,0.22,"party,relaxation,exercise,yoga,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000072,Silhouette,Aurora Skies,reggae,joy,Sample Album,29th April 2013,False,30,176,-9.67,248,0.71,0.91,0.55,0.15,0.3,0.66,0.7,"work_study,running,yoga,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000073,Bloom,Paper Kites,classical,fear,Sample Album,29th April 2013,True,11,106,-10.52,352,0.93,0.14,0.13,0.18,0.25,0.18,0.56,"work_study,running,driving,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000074,Runaway,Aurora Skies,reggae,surprise,Sample Album,29th April 2013,False,41,178,-7.95,171,0.57,0.43,0.96,0.04,0.25,0.07,0.59,"relaxation,exercise,running,yoga,driving,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000075,Afterglow,Paper Kites,pop,joy,Sample Album,29th April 2013,True,90,143,-10.89,230,0.14,0.55,0.07,0.15,0.1,0.48,0.71,"work_study,relaxation,exercise,yoga,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000076,Nightcall,Crimson Theory,folk,love,Sample Album,29th April 2013,False,27,136,-8.36,142,0.37,0.29,0.41,0.13,0.45,0.5,0.85,"party,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000077,Higher Ground,!!!,metal,anger,Sample Album,29th April 2013,True,97,74,-7.8,171,0.44,0.19,0.49,0.14,0.21,0.7,0.81,"exercise,running,driving,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000078,Ghost Town,Aurora Skies,jazz,joy,Sample Album,29th April 2013,True,31,105,-10.01,278,0.89,0.64,0.76,0.16,0.03,0.84,0.11,"driving,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000079,Echoes,Crimson Theory,reggae,sadness,Sample Album,29th April 2013,True,86,90,-5.16,192,0.51,0.59,0.79,0.15,0.37,0.13,0.06,"party,work_study,exercise,running,yoga,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000080,Fever Dream,Neon Fox,hip hop,surprise,Sample Album,29th April 2013,True,76,116,-4.05,330,0.79,0.9,0.48,0.04,0.07,0.46,0.13,"party,relaxation,running,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000081,Daydream,Iron Waves,reggae,sadness,Sample Album,29th April 2013,False,57,136,-3.26,340,0.29,0.35,0.42,0.25,0.31,0.57,0.68,"relaxation,yoga,driving,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000082,Slow Burn,!!!,folk,anger,Sample Album,29th April 2013,False,12,72,-9.17,156,0.79,0.64,0.68,0.11,0.38,0.87,0.05,"party,work_study,yoga,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000083,Vertigo,Velvet Rope,hip hop,fear,Sample Album,29th April 2013,True,9,96,-8.2,317,0.77,0.34,0.08,0.3,0.02,0.56,0.78,"work_study,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000084,Weightless,Wild Empire,reggae,sadness,Sample Album,29th April 2013,True,38,89,-10.71,334,0.9,0.8,0.56,0.07,0.34,0.43,0.12,"work_study,relaxation,exercise,running,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000085,Golden Hour,Wild Empire,electronic,anger,Sample Album,29th April 2013,True,100,121,-8.24,345,0.99,0.72,0.51,0.16,0.52,0.99,0.29,"party,exercise,running,yoga,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000086,Echoes,Velvet Rope,jazz,fear,Sample Album,29th April 2013,True,25,118,-6.89,300,0.02,0.32,0.4,0.07,0.34,0.78,0.37,"party,work_study,relaxation,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000087,Echoes,Iron Waves,r&b,anger,Sample Album,29th April 2013,False,70,129,-5.52,252,0.5,0.52,0.68,0.17,0.35,0.6,0.35,social,Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000088,Vertigo,Echo Parade,rock,fear,Sample Album,29th April 2013,True,17,68,-10.18,353,0.72,0.53,0.7,0.13,0.35,0.35,0.75,"exercise,driving,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000089,Weightless,!!!,classical,joy,Sample Album,29th April 2013,True,91,72,-10.55,240,0.76,0.56,0.61,0.06,0.53,0.28,0.72,"work_study,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000090,Gravity,Crimson Theory,hip hop,fear,Sample Album,29th April 2013,False,17,158,-8.54,293,0.74,0.22,0.56,0.22,0.2,0.92,0.56,"party,work_study,exercise,driving,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000091,Golden Hour,Silver Lake,electronic,love,Sample Album,29th April 2013,False,87,141,-10.32,209,0.61,0.86,0.85,0.28,0.54,0.14,0.72,"party,relaxation,exercise,driving",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000092,Ghost Town,Glass Union,hip hop,joy,Sample Album,29th April 2013,True,3,154,-10.6,234,0.57,0.66,0.26,0.13,0.1,0.23,0.29,"work_study,exercise,running,driving,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000093,Weightless,Echo Parade,r&b,anger,Sample Album,29th April 2013,True,61,132,-11.33,317,0.94,0.96,0.54,0.06,0.58,0.56,0.2,"relaxation,running,yoga,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000094,Golden Hour,Aurora Skies,r&b,fear,Sample Album,29th April 2013,True,8,143,-7.21,149,0.35,0.07,0.68,0.16,0.57,0.95,0.82,"relaxation,social",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000095,Nightcall,Velvet Rope,metal,joy,Sample Album,29th April 2013,False,49,66,-5.97,251,0.09,0.81,0.76,0.26,0.21,0.74,0.22,"party,work_study,relaxation,yoga,driving,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000096,Runaway,The Midnight,metal,joy,Sample Album,29th April 2013,False,90,118,-6.62,197,0.88,0.34,0.72,0.13,0.56,0.14,0.9,"party,work_study,yoga",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000097,Silhouette,Coral Bloom,hip hop,love,Sample Album,29th April 2013,False,95,163,-11.79,346,0.87,0.05,1.0,0.29,0.26,0.7,0.75,"work_study,relaxation,running,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000098,Mirage,Wild Empire,hip hop,fear,Sample Album,29th April 2013,True,46,122,-10.88,190,0.78,0.51,0.66,0.26,0.52,0.73,0.85,"relaxation,exercise,yoga,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000099,Fever Dream,The Midnight,jazz,joy,Sample Album,29th April 2013,True,86,114,-6.65,246,0.57,0.67,0.86,0.26,0.14,0.21,0.27,"work_study,relaxation,exercise,yoga,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
trk_000100,Daydream,Wild Empire,metal,fear,Sample Album,29th April 2013,True,99,66,-4.54,126,0.69,0.57,0.38,0.14,0.26,0.8,0.0,"party,work_study,relaxation,exercise,yoga,social,morning",Corey Smith – If I Could Do It Again,Toby Keith – Drinks After Work,Space – Neighbourhood
